Date received,Consumer complaint narrative,Company,Product,Sub-product,Issue,Company public response,State,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,City
5-22-2019,"I am a victim of identity theft dating back to XX/XX/XXXX, my wallet was lost, in it were my ID, and social card. This company name Avant Inc, Acct # XXXX .... out of XXXX, let someone get a fraudulent loan in my name for {$3300.00} in XX/XX/XXXX. I went to my local police when I saw it on my credit report. They told me since I could n't prove it happened in their jurisdiction, they could n't issue me a report, there was nothing they could do. They told me to contact the credit bureaus and have them take care of it. So thats what I did. I have disputed this information until I am blue in the face. The credit bureaus wo n't remove this account. 

XX/XX/XXXX I contacted Avant Inc directly by mail. I told them this was a fraudulent account, I asked them to send me copies of the loan agreement contract, so I can compare the signatures. As I know it would n't be mine. They never sent me anything. Of course they going say they did n't receive the letter. So I disputed the account again and it was n't removed. 

So XX/XX/XXXX, I wrote them again and again asked for them to send me copies of the loan agreement contract, so I can compare the signatures. Of course they going to say they did n't receive this letter either. I also spoke to a lawyer, that told me that once, I get the the loan agreement contract, do a notarized affidavit of forgery, and send back with the loan contract signature, and that would be enough proof to show I did n't take out a loan or sign the loan papers, and the company would remove the account from my credit report within 30 days. The lawyer said it was simple business contract law. The signatures do n't match, so the fraudulent contract would be invalid and I would be released from liability, because I did n't opened the account. 

Today is XX/XX/XXXX and Avant Inc, still has not replied to any of the letters and never sent me any loan agreement contract, with my signature. They have not sent me anything. 

How can this company, place a fraudulent account on my credit report? I requested documentation on 2 occasions, they will not send it. This is the 7th month since requesting copies of the loan agreement contract. 

They will not respond, because these documents do not exist. They try to take advantage of the little person, because they are a big multi national corporation. I want this account removed from my credit reports. Please help.",Union bank,Bank account or service,Checking account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Maharashtra,Referral,05-23-2019,Closed with explanation,Yes,No,2279757,Nashik
2-24-2019,"I have XXXX issues. They continued to contact me after I sent written notification asking for validation and to stop the phone calls. They continue to call me at work when I asked them not to. They told my boss why they were calling. 

When they call I tell them I do not consent to be recorded as is my right in the state of California and they tell me they wo n't stop recording unless I validate my information.",Bank Of baroda,"Money transfer, virtual currency, or money service",Virtual currency,Other transaction problem,None,Uttar Pradesh,Web,02-24-2019,Closed with explanation,Yes,,2653493,Lucknow
3-21-2019,"I had a doctor 's bill from XXXX that I was supposedly served a judgment on in XXXX but it was n't until XXXX until the judgment actually went through at the court ( I 'm probably using the wrong terminology but I hope you understand what I 'm trying to say ). The problem is, the address they supposedly served me at in XXXX I was no longer living at. I was in the middle of moving and I ca n't remember the exact date I moved from XXXX address to the other but I 'm 99.9 % sure I never received notice of this. 

Last year I pulled a copy of my credit report and noticed this and reached out to the collection agency and asked what I could do to clear this up. I was told the balance was around {$700.00} but if I paid {$500.00} they would have it removed. I paid it and a few weeks later I found out this was incorrect. I was then told by the President of the collection agency ( XXXX XXXX ) that if I paid the remaining balance it would be removed. At this time I paid {$360.00}. Once again it did n't come off but I did get a refund check from them a few weeks after this for {$150.00}. Supposedly the amount in their own system was inaccurate and they billed me the wrong amount right up until this point. 

The amount entered into the judgment is incorrect. The original balance was {$1000.00} but after making over {$400.00} in payments & two years later ( well, 4 years until it was entered at the court ) the balance was STILL {$1000.00}. The same amount to the cent. 

XXXX XXXX ( the president of Amerifinancial Sollutions ), XXXX XXXX ( the Director of Finance at XXXX XXXX XXXX ) and XXXX XXXX ( the attorney for XXXX XXXX XXXX XXXX are all in agreement that the amount ( s ) for the bill have been inconsistent and wrong since the beginning and this should be removed. XXXX XXXX has written a letter I have sent to Equifax and XXXX XXXX has written XXXX ( & I also sent this to Equifax ) and to date they have refused to remove this. I 've written to them probably XXXX times over the past year and every time they refuse to do anything about this ... even when given information from the collection agency that what they are reporting is inaccurate. 

Every single person and company associated with this bill has been trying for close to a year to have this removed and every single request has been denied by Equifax. The debt was wrong, the original creditor and collection agency are in agreement on this & here it is over a year later and Equifax is continuing to report inaccurate information and continuing to damage my credit.",Fino payment bank,"Money transfer, virtual currency, or money service",Virtual currency,Other service problem,None,TAmil Nadu,Web,03-23-2019,Closed with explanation,Yes,,2652141,Chennai
5-19-2019,"First contacted XXXX XXXX and XXXX XXXX XXXX in 2006 about daughter needing money to finish XXXX quarter. Before I signed as a cosigner on XXXX XXXX loan, I had a three way conversation with XXXX XXXX, the school and myself. Found out what she needed and expressed my wants to have the school paid directly with the monies, not to XXXX, XXXX XXXX Rep told me on the phone, it would be done. The following fall, XXXX my daughter did n't return to school, stated she did n't get enough financial help. Two years pass and I get a late notice on monthly payment, then I was told by her brother the reason of not returning to school was that she requested the loan to be sent to her after the original agreement and spent the monies. To verify that I call the financial aid dept. and they said that from the phone conversation in the beginning they waited on the funds but never got that check from XXXX XXXX as agreed. Since that time XXXX, because of being primary has put loan in forbearance, change email addresses for contact and not paid on the loan just to cause issues with me and my credit. I have take her to court 3 times, won the decision that she owes the money and she has told the judge 3 times she does n't owe it and spent the money and I owe it. Because of her owing money to everyone she does n't have anything in her name, just her husbands name. They have a new home, she drives a XXXX Chevrolet Tahoe, her husband works for XXXX, she bragged about how much money he makes and she works and gets paid cash so nothing shows up. She graduated from XXXX, and still pays this payment irregular so it messes up my credit. This last XXXX from what I was told when Navient, the new servicer contacted me in XXXX, she was 90 days late on the payment. They waited 90 days to contact me and it knock my credit rating down almost XXXX points to XXXX. XXXX does n't care because this is a game she plays knowingly that effects my credit because now since I had to retired, by monthly taxable income is {$190.00}. 
Navient calls me 3 to 4 times daily and sends me emails. When I talk to them and tell them that I cant afford to pay this amount and why do n't they contact her they say they have but contact me more because I am cosigner and then start making threat to me what they are going to do to me financially. XXXX does this to ruin my credit, I should have listen to my son back in 2006 and not signed this. I have tried to contact the Ombudsman department at Navient to resolve this but not response",Federal bank,Bank account or service,Checking account,Problems caused by my funds being low,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Maharashtra,Referral,05-20-2019,Closed with monetary relief,Yes,No,2435736,Mumbai
6-17-2019,"On XXXX/XXXX/XXXX I received an alert from TransUnion that a collection account had been added to my credit report by Central Credit Service of XXXX Maharashtraorida in the amount of XXXX. On or about XXXX/XXXX/XXXX, I contact the agency to inquire about the entry and it was stated to me that communication regarding this account had been sent to an address that I had not resided in since XX/XX/XXXX. I had an initial conversation with one representative, who at that time recited to me my 'current ' address. At that time she stated that they had recently acquired my new address as of XXXX/XXXX/XXXX. I then stated that they had in fact violated my rights as I had not verified or validated that the account was mine. I then asked to speak to a supervisor. Continuing on with the discussion and speaking with XXXX XXXX, she then stated that no documentation was sent to my current address and that the communication was only sent to the previous address. I then iterated that their entry on my credit report violated my rights to verify and validate that the account was mine before reporting to the credit bureaus. I then requested to speak with her boss. I was directed to give XXXX XXXX XXXX a call to further discuss. My second communications with Central Credit involves my restating that this said debt had not been communicated verbally or in writing as my right per the FDCRA. They then restated that they had mailed communication to the previous address but had NOT sent written communication to my present address. The entry to my credit report was XXXX/XXXX/XXXX. I then requested to speak with the supervisor on duty and was connected to XXXX XXXX, who then preceeded to tell me that communication was sent AGAIN to the previous address but not the current. I then stated to XXXX XXXX that my rights as the consumer being charged as being responsible for this had NOT been communicated as per my rights and that they failed to verify and validate said debt before listing the account on my credit report. XXXX XXXX then stated that Central Credit Services will not confirm or deny that they failed to verify or validate the debt prior to listing the account with the credit reporting agencies. I was then direct again to give XXXX XXXX a call. I have not been able to reach XXXX XXXX and have left him a message regarding this unverified debt. To date, the day being XXXX/XXXX/XXXX XXXX am, I have YET to receive any written communication from Central Credit Service or a returned phone from XXXX XXXX XXXX. 

Per the FRCA and FDCPA, debts are to be verified and validated prior to being reported to the credit reporting agencies. I as the consumer have the right to validate, verify or dispute said debt, which as of today, I have not. I am still awaiting documentation that illustrate that I 'm responsible which Central Credit Services has not provided. YET, on XXXX/XXXX/XXXX they reported to the credit reporting agencies an unverified and invalidated account. I have not verified or disputed this account, as it is my right to do so provided by FCRA and the FDCPA.",South Indian bank,Bank account or service,Other bank product/service,Deposits and withdrawals,None,Uttar Pradesh,Web,06-18-2019,Closed with explanation,Yes,No,1642171,Allahabad
12-26-2019,"On XXXX XXXX,2017 Equifax administration sent me a Retaliation and Discriminating response through CFPB Portal.
Calling me Dear, XXXX XXXX. My name is not XXXX XXXX.My name is XXXX XXXX XXXX.
Why is Equifax Administration retaliating against me as a XXXX Military Veteran and my XXXX Lifetime?
I filed complaint on XXXX XXXX,2017 Case file # XXXX.
What 's Federal Government going to do against Equifax Retaliation and Discrimination against me as a Military Veteran?",IndusIand Bank,Bank account or service,Savings account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Maharashtra,Phone,12-26-2019,Closed with monetary relief,Yes,No,2424310,Pune
11-19-2019,"We are serious company who makes {$700000.00} gross revenue with a constant positive business account of {$20000.00} to {$30000.00}. We have since XXXX XX/XX/XXXX a business account with the XXXX XXXX former XXXX XXXX XXXX. In XXXX XXXX we received a credit card with a {$5000.00} credit line. 
On the XX/XX/XXXX statement XX/XX/XXXX appears a Balance due of XXXX. 
An automatic payment was previously installed. 
In XXXX XXXX the Credit department of the XXXX XXXX failed to consider our first automatic set up payment and registered an incident. Thus they decreased our limit to XXXX dollars. 
In XXXX XXXX. That was the first damage. 
We called and asked them to solve this issue and come back to the initial XXXX dollars approved limit. 
In fact this call was assimilated as a request for a credit line increase. 
We were surprised to be informed on XXXX/XXXX/XXXX that our request was denied and registered as well in the credit score history. 
A second call produced exactly the same effects and on XXXX/XXXX/XXXX we received a second letter with the same denial of approval on a credit line increase. As a result our Credit score went from XXXX to XXXX. 
On XXXX/XXXX/XXXX we made a payment of {$2800.00} for a due date of XXXX/XXXX/XXXX. When we looked up on XXXX/XXXX/XXXX if the payment which was withdrawn of our account on XXXX/XXXX/XXXX was registered in the payment history it did not show up. Again we paid {$2800.00} on XXXX/XXXX/XXXX as it did n't show registered. The same day we paid {$2900.00}. So for we had a credit on our account but the XXXX XXXX refused payments to our suppliers. 
As we tried to explain for a third time to a supervisor the recurrent problems and can not find a positive solution to our matter, we would like you to intervene.",Nagpur nagarik bank,Bank account or service,Other bank product/service,Problems caused by my funds being low,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Maharashtra,Referral,11-19-2019,Closed with monetary relief,Yes,No,2436404,Aurangabad
11-20-2019,"Our mortgage lender short paid our property taxes. 
XX/XX/XXXX - property tax due date XX/XX/XXXX - property tax short paid by mortgage lender XX/XX/XXXX - property owner notified by county tax department of unpaid balance XX/XX/XXXX - property owner provided written notice to lender of unpaid balance and requested written verification of successful tax payment XX/XX/XXXX - property owner called lender, lender verified receipt of owner 's request to pay balance due XX/XX/XXXX - property owner received marketing call from lender to refinance and take advantage of equity. I requested status update for unpaid property taxes and was transferred to a different attendant who confirmed receiving my request to pay unpaid taxes. 
XX/XX/XXXX - property owner confirmed through county tax department that tax was still unpaid. 
XX/XX/XXXX - property owner contacted mortgage lender for status update. Lender stated that internal departments were processing my request and confirming amount of unpaid balance. Lender stated their target payment date of XX/XX/XXXX. Property owner stated XX/XX/XXXX as unacceptable. Property owner was transferred to escalation department. Lender attendant stated they would attempt to resolve sooner than XX/XX/XXXX and would contact me after 3 days to provide status update.",Saraswat bank,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,None,Punjab,Web,11-22-2019,Closed with explanation,Yes,,2753554,Chandigarh
11-21-2019,"I am a victim of identity theft dating back to XX/XX/XXXX, my wallet was lost, in it were my ID, and social card. This company name Avant Inc, Acct # XXXX .... out of XXXX, let someone get a fraudulent loan in my name for {$3300.00} in XX/XX/XXXX. I went to my local police when I saw it on my credit report. They told me since I could n't prove it happened in their jurisdiction, they could n't issue me a report, there was nothing they could do. They told me to contact the credit bureaus and have them take care of it. So thats what I did. I have disputed this information until I am blue in the face. The credit bureaus wo n't remove this account. 

XX/XX/XXXX I contacted Avant Inc directly by mail. I told them this was a fraudulent account, I asked them to send me copies of the loan agreement contract, so I can compare the signatures. As I know it would n't be mine. They never sent me anything. Of course they going say they did n't receive the letter. So I disputed the account again and it was n't removed. 

So XX/XX/XXXX, I wrote them again and again asked for them to send me copies of the loan agreement contract, so I can compare the signatures. Of course they going to say they did n't receive this letter either. I also spoke to a lawyer, that told me that once, I get the the loan agreement contract, do a notarized affidavit of forgery, and send back with the loan contract signature, and that would be enough proof to show I did n't take out a loan or sign the loan papers, and the company would remove the account from my credit report within 30 days. The lawyer said it was simple business contract law. The signatures do n't match, so the fraudulent contract would be invalid and I would be released from liability, because I did n't opened the account. 

Today is XX/XX/XXXX and Avant Inc, still has not replied to any of the letters and never sent me any loan agreement contract, with my signature. They have not sent me anything. 

How can this company, place a fraudulent account on my credit report? I requested documentation on 2 occasions, they will not send it. This is the 7th month since requesting copies of the loan agreement contract. 

They will not respond, because these documents do not exist. They try to take advantage of the little person, because they are a big multi national corporation. I want this account removed from my credit reports. Please help.",Axis bank LTD,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,None,Karnataka,Postal mail,11-23-2019,Closed with explanation,Yes,No,2418568,Mangalore
11-22-2019,"I have XXXX issues. They continued to contact me after I sent written notification asking for validation and to stop the phone calls. They continue to call me at work when I asked them not to. They told my boss why they were calling. 

When they call I tell them I do not consent to be recorded as is my right in the state of California and they tell me they wo n't stop recording unless I validate my information.",Paytm payments bank,Bank account or service,Savings account,"Account opening, closing, or management",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Maharashtra,Referral,11-23-2019,Closed with monetary relief,Yes,No,2404973,Pune
11-23-2019,"I am called multiple times a day by different people in the office about my debt with them. I know I have this bebt but I am unemployed a d have been since   XXXX   XXXX  ,2017 and I have told them that several time. Their response is I 'm sorry that your not working but this debt has to be paid and until your account is current well will continue to call every 3 days or we will charge this account off as non-payment.",punjab national bank,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,Goa,Referral,11-25-2019,Closed with explanation,Yes,Yes,2404698,Panaji
3-25-2019,"I am a resident of the state of Texas and sent National Credit Systems a Texas Debt Validation request in accordance with Texas Finance Code 392.202. This request was received and signed for on XXXX/XXXX/2015. I have not received validation of this debt. It has now been well past the 30 day period in which the agency must respond. I recently checked my credit reports and this debt still remains. I have attached a copy of the Texas Debt Validation Letter, Certified Mail Receipt, and Return Receipt.",ICICI bank,Bank account or service,Checking account,Using a debit or ATM card,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Telangana,Web,03-26-2019,Closed with explanation,Yes,No,2428171,Hyderabad
2-24-2019,"When I first went to XXXX XXXX in XXXX, MA, they had told me how they would place me in a job in that field. I completed in XXXX with a XXXX. That never helped me in obtaining a secure employment in that field. I ended up working for temp angencies. Then I became XXXX in XXXX and have been out of work since. My loans were through Sally Mae. They have been taking money out of my benefits since XXXX. I 'm should be getting $ XXXX mth but I actually only receive $ XXXX mth. I 'm a single parent trying to find a way to get back to work but it has been hard with my XXXX. I also tried to go back to the XXXX XXXX for my XXXX because they told me that they were now accredited and I would be able to transfer credits to XXXX XXXX XXXX. I went for about two weeks and just could n't make it to classes because of my XXXX. When I went to tell them this and needed to drop out. I was told that I would still have to pay. I am barely making ends meet with the income that I receive, I do n't need these loans huvering over my head. Especially when I 'm trying to get my credit straight as well. I want my loans to be Discharged.",IDBI Bank,Bank account or service,Checking account,Using a debit or ATM card,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Uttar Pradesh,Web,02-26-2019,Closed with explanation,Yes,No,2418302,Lucknow
